Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_DRFE_OUT_SB_SLOT_0             0x7  	0xC	        0x10   "DRFE Out Soft bits Slot 0 = "  	    DEC8      Buffer_E       	   ""
LG_DRFE_OUT_SB_SLOT_1             0x7  	0xC	        0x11   "DRFE Out Soft bits Slot 1 = "  	    DEC8      Buffer_E       	   ""
LG_DRFE_OUT_SB_SLOT_2             0x7  	0xC	        0x12   "DRFE Out Soft bits Slot 2 = "  	    DEC8      Buffer_E       	   ""
LG_DRFE_OUT_SB_SLOT_3             0x7  	0xC	        0x13   "DRFE Out Soft bits Slot 3 = "  	    DEC8      Buffer_E       	   ""

LG_DRFE_IN_CHAN_TYPE              0x7  	0xC		0x14   "Chan. Type For Samples Print = "    HEX16     Title+Data     	   ""

// AFC:
LG_AFC_INPUT_EQU_SB               0x7 	0xD	        0x0    "LG_AFC_INPUT_EQU_SB = "             DEC16      Buffer_E       	   ""
LG_AFC_INPUT_CH_TAPS              0x7 	0xD	        0x1    "LG_AFC_INPUT_CH_TAPS = "            COMP16Q15  Buffer_E       	   ""
LG_AFC_INPUT_EQU_IQ_IN            0x7 	0xD	        0x2    "LG_AFC_INPUT_EQU_IQ_IN = "          COMP16Q15  Buffer_E       	   ""
LG_AFC_INPUT_ENABLE_FLAG          0x7 	0xD	        0x3    "LG_AFC_INPUT_ENABLE_FLAG = "        DEC16      Title+Data     	   ""
LG_AFC_OUT_FREQ_OFFSET_EGDUH      0x7 	0xD	        0x4    "EGDUH AFC_EstFreqOffsetHz = "       Q5         Title+Data     	   ""
LG_AFC_OUT_FREQ_OFFSET_DNS        0x7 	0xD	        0x5    "DNS AFC_EstFreqOffsetHz = "         Q5         Title+Data     	   ""
LG_AFC_CIR_ACC_RESET         	  0x7 	0xD	        0x6    "AFC Cir Accumulators Reset "        DEC16      Title+Data     	   ""
LG_AFC_ACC_CIR                    0x7 	0xD	        0x7    "AFC Accumulated Cir Counter    = "   FlpNumQ15  Title+Data     	   ""
LG_AFC_STATIC_MEM_INDEX           0x7 	0xD	        0x8    "AFC Static Memory Index        = "   DEC16  Buffer_E 	   ""
LG_AFC_SLOT_NUM_IN_BLOCK          0x7 	0xD	        0x9    "AFC Slot Num In Block          = "   DEC16  Buffer_E 	   ""
LG_AFC_PREV_BURST_INDEX_IN_BLOCK  0x7 	0xD	        0xA    "AFC Prev Burst Index In Block  = "   DEC16  Buffer_E 	   ""
LG_AFC_CIR_TO_ADD                 0x7 	0xD	        0xB    "AFC Cir To Add To Acc 	       = "   FlpNumQ15  Title+Data     	   ""
LG_AFC_ACC_BEFORE_ADD_CIR         0x7 	0xD	        0xC    "AFC Accumulated Cir Before Add = "   FlpNumQ15 Title+Data     	   ""
LG_AFC_LAST_MAX_ACC_GROUP_CIR_INDEX 	0x7	0xD 	0xD    "Afc Last Max Accumulated Group Cir Index = " DEC16  Buffer_E 	   ""

LG_AFC_DEBUG_BURST_BUILD        0x7	0xD 	0xE    	"LG_AFC_DEBUG_BURST_BUILD = " 		DEC16  Buffer_E 	   ""
LG_AFC_DEBUG_RX_REF_MODULATE    0x7	0xD 	0xF    	"LG_AFC_DEBUG_RX_REF_MODULATE = " 	COMP16Q15  Buffer_E 	   ""
LG_AFC_DEBUG_RX_REF_FIR_C       0x7	0xD 	0x10    "LG_AFC_DEBUG_RX_REF_FIR_C = " 		COMP16Q15  Buffer_E 	   ""
LG_AFC_DEBUG_RX_REF_FIR_AC      0x7	0xD 	0x11    "LG_AFC_DEBUG_RX_REF_FIR_AC = " 	COMP16Q15  Buffer_E 	   ""
LG_AFC_DEBUG_PHASE_VECTOR       0x7	0xD 	0x12    "LG_AFC_DEBUG_PHASE_VECTOR = " 		COMP16Q15  Buffer_E 	   ""
